asin,also_buy
0061073717,
0143026860,
014789302X,"['B00OWT3W28', 'B010E1X15K', 'B0796RMSV8', 'B07HPBWSW2', 'B010FQJWWK', 'B00IGBID9A', 'B07C9KZTXP', 'B00DNK5UR2', 'B0079Z48S4', 'B005EIIAPA', 'B00MSU90U6', 'B079MHLF3Z', 'B078VXMNQQ', 'B072SJQW3B', 'B00MAX5TCY', 'B01HTGNIH4', 'B01BIRIPA0', 'B0777796G5', 'B01BEABLO8', 'B01KJK7UA8', 'B007T8LXZC', 'B00ISAPPLI', 'B07DDCD86N', 'B01N6MIQ27']"
0571348351,"['1848426380', 'B07JVF7M3C', '1644450003', '1635571766', '1559365978', '1559365862', '0857055429', 'B07J36923G', '0525618643', '1939931614', 'B07HC435LF', '0573697094', 'B07D4ZWCMB', '0735223521', '162779834X', '1468315714', '1420956493', '0345806565', 'B07HC5H94C', '1101874562', '1559363843', '082223226X', '1350069299', 'B07895XF5C', '1559365730', '1559365420', '0062795252', 'B07BMLQN93', '3836563487', '177046316X', '0872867862', '1559365382', '155936582X', '0393310329', '1559365560', 'B07GGRJWRW', '0802137563', 'B0767FCYDP', '031631613X', '0804172706', 'B0788XVVD8', '155936534X', '086547771X', '1559365323', 'B01H4Z7CZE', '0316316121', '1328764524', '0199832536', '0735218196', '081013358X', '0452274001', '1559365404', '0738215678', '1555977359', '1848426038', '082222156X', '1468311085', '076246481X', 'B07GW7NRW8', '0822225336', '0316188549', '1848426313', '1593500750', 'B078DDYRBL', 'B07GGCZ7GZ', '0571328873', '155659495X', '1559365471', '0822231166', '1984854275', '1593501463', '039959227X', '0573640041', '1501198246', '0684843269', '0865479445', '1250122430', '1559364580', '1783191430', '0143128752', '0573705674', 'B072ZM74YY', 'B0001HAGRE', '1400032385', '0571245927', '0552162949', '0553419056', '0822200732', 'B003554PYO', '1350045985', '0307275930', '155936551X', '1559360410', '1559361131', '1350055018', '0007465084']"
0692508988,
0721917704,
0792272595,
0957664613,['153717309X']
0967140196,
0972587640,
0974158232,['0803639228']
0974472379,['0824834399']
0976070502,
0977217205,
0977217221,
0977217213,
0977689565,
0977949125,
097920500X,
0982629281,
0983688346,
0984893229,
0990729702,
