reviewerID,asin
11923,1929
21075,102
5817,1929
21659,1298
23693,4014
409,3078
24787,1929
16016,2228
6362,4006
10455,2028
5632,44
22237,1929
23418,1382
14742,4
11470,1668
5782,2612
13091,2651
9472,2898
11851,1680
24289,769
16625,1929
19765,307
20162,2648
22967,342
12167,14
24418,2536
3822,1929
6743,251
18262,1929
8407,1724
16631,2216
15781,1929
20379,2478
420,1742
516,1929
24978,2884
5712,251
768,3986
205,3127
11153,3200
6511,1298
2498,1298
15536,251
5632,3765
2502,389
3154,1396
6250,890
4108,1929
19661,890
1844,389
15111,3986
19054,1937
5665,2898
24147,548
22190,2387
16996,1298
4132,1929
21095,698
6609,282
2078,3250
14599,3289
4115,3132
16352,1929
24881,1298
20135,1732
5256,1128
7553,702
9319,1929
5146,1298
12391,1298
17464,1298
13128,2648
5492,1929
1948,567
2411,1298
15417,282
18796,3899
10725,2392
23993,1929
4469,2648
4214,900
18837,890
23407,3899
18139,2713
9931,2167
12306,1097
1573,912
12871,932
726,251
14649,2213
1465,2692
9738,2216
19724,3625
23388,1929
21249,2392
20801,932
23758,1532
7755,2646
13933,1929
11515,2353
9818,614
10879,3305
24378,1857
24246,1298
10406,1929
18648,889
5046,151
22154,901
5467,2131
8370,2884
1546,808
22523,1598
19003,3349
17863,3322
19998,1680
9516,1929
16518,1298
13970,4001
5583,3409
12487,1298
11374,879
11276,1298
14083,2546
21983,893
23618,1298
10892,938
5856,2821
23830,3626
6424,1298
12993,1402
540,890
22242,1929
22576,2478
2910,272
19342,2120
3330,2692
18415,1250
3022,1929
3948,3202
16696,3986
15117,3986
23257,2500
24279,1298
13377,1929
4983,2478
12087,912
2302,1298
13115,1298
13709,460
12683,2048
19462,1929
4206,3305
23355,3034
22085,1298
18851,1614
14832,3182
24630,753
14481,901
20237,1298
18863,75
13674,1298
1333,1929
20606,2283
6640,1298
18234,2003
6348,1929
18667,1298
3310,4001
6047,890
23883,2713
2799,912
15182,251
380,1298
21287,3751
5341,1929
5388,1650
5429,145
13707,938
3354,829
10489,578
20468,1929
9511,1935
16098,2392
24456,523
5929,1249
18607,4022
1498,912
5957,1929
23087,1929
18042,213
753,3507
15286,1929
22198,938
11952,163
2716,2302
3257,3341
11656,1929
11501,1239
8272,3322
13059,1298
13093,1929
5040,1922
5731,3078
2305,1298
19614,1929
11077,3899
5157,3848
19753,3275
10965,1919
8671,4035
22132,1929
16359,3066
8565,2456
2953,333
23136,251
11351,1298
1231,3682
14632,3971
9736,938
23519,3305
3833,2944
10529,1929
15594,2603
21222,1230
16608,1298
1691,1929
13172,1929
3816,2478
20856,871
22609,18
13129,2478
8397,450
7949,378
23086,1929
22671,2692
3780,237
86,1986
745,387
6449,1298
10492,3452
23760,1929
23495,1362
23047,161
4786,1298
17860,1298
19591,866
4830,2986
7939,2324
18366,3986
451,1298
18927,2392
9266,389
11985,3862
3473,1298
14560,450
21085,1929
11248,3640
12645,2608
14950,15
3793,101
14864,1738
14273,3899
24590,1416
13994,3622
18607,1670
10758,1090
6114,176
6031,2120
19729,1298
9398,1297
16939,1328
2558,1929
5679,1929
23035,1298
12177,1929
14173,1919
8044,3507
12361,1929
12118,1011
1793,4001
12770,2599
6879,747
14740,1298
1035,890
8857,1929
3870,1041
4373,2713
4141,1298
16541,890
335,472
1455,1298
18993,1398
10155,3901
23994,1929
20213,2311
20333,890
24480,3720
4793,1298
17703,2999
8290,2129
14433,1298
1165,1298
22022,557
5186,1929
5389,390
24550,2478
9651,1298
19683,3612
6452,3190
8411,499
19453,111
11972,1298
21863,2600
4183,117
21095,1232
3229,1298
8861,1929
20701,2772
3719,2735
952,3616
6296,3047
2728,3899
23322,1298
1941,1298
10516,890
15782,2733
11708,1929
15413,1599
24720,1929
19761,2234
3835,3899
2873,1929
18553,2513
4550,1929
18938,1261
16280,1929
22804,52
4692,2559
21428,1298
17321,3631
373,126
9092,1929
16606,2478
19970,1929
19942,250
1102,64
9219,1929
4894,1298
22814,3608
7200,2919
1075,1929
155,1046
17927,2983
4122,1355
13087,3899
15107,1008
18734,1778
5017,1298
8606,3025
11892,899
5259,4042
21038,121
801,217
5789,4001
21118,449
11135,1929
24314,1298
21898,1929
9505,3085
20366,1298
540,2120
12112,1158
11416,1298
17671,1929
2310,3341
5324,1610
6340,1126
4194,4001
12644,2599
11785,3665
14921,1929
12017,1935
15756,2047
18193,1929
5730,1343
3470,592
7987,2089
11034,1929
4114,890
8455,2629
10934,1929
687,3432
16658,673
22208,1929
21696,1298
9007,890
12764,3341
7813,926
16050,1929
20260,2283
21081,1011
3748,1929
3128,282
17080,912
4422,1929
8450,1298
10448,1298
19781,2836
16239,3754
23126,2772
23312,948
3160,540
3904,1929
12321,2042
16723,1298
14494,487
8368,1298
12150,3855
8677,4006
5369,1614
17112,3811
21141,1635
1801,2821
5116,3899
16622,2518
14042,2642
21156,2593
9296,3341
3576,3986
2364,1200
19801,1343
23293,1929
19009,4028
4727,2216
17943,129
7284,1929
4038,2786
23552,3341
22585,832
14965,1929
16993,3651
5747,1106
15746,1298
18393,1298
8257,2630
7127,1298
15517,2392
5784,3899
7512,2679
18856,1539
22174,1133
14317,2713
536,811
12478,3278
16552,1298
14489,3479
22616,4001
8368,1929
