reviewerID,asin
2370,3434
10034,1297
1001,2185
8296,3468
9425,3681
4986,1975
3169,377
10350,2154
9043,1391
17055,2984
19719,2392
1947,2418
12474,2492
10985,2964
1014,3334
15044,3802
18065,2480
24128,1284
23157,1752
16922,1906
18905,2035
14297,512
11738,1541
14619,2956
12641,2256
14720,81
18265,812
22563,2217
3716,2382
2830,1425
17536,2468
23409,2535
8501,2383
12077,2233
434,2070
14383,4060
22793,361
22048,1921
20806,1094
9281,1677
5721,1294
16312,3902
14453,1224
17527,580
5718,3999
7137,3266
6432,1120
10227,1
1400,97
23977,2721
5688,450
9893,1122
2915,1463
10654,3702
24633,786
1208,3959
7470,1708
21931,1349
6949,1952
7224,1891
9215,782
22431,3398
11498,1740
12225,3292
13159,2246
21671,1054
24450,2644
21860,16
5974,1258
20807,1201
7536,1351
8760,1819
7566,2008
10364,3261
11043,441
11791,2473
22632,337
22875,3876
10123,3360
22132,3561
24666,2803
20107,155
7185,3829
6651,60
16040,207
16691,740
10993,3162
11046,2750
6259,2762
945,3772
2989,4100
23692,2581
23484,3659
738,882
21822,1804
19659,3246
8002,335
5570,4081
7592,3565
13150,135
12738,76
9403,717
1850,3418
16490,1561
19719,2577
5778,3012
2414,1656
17673,595
2886,3793
22907,3759
17521,3956
2219,3255
7275,2163
21260,945
19351,1955
6990,4063
7170,1855
11366,1568
8469,1972
304,846
14687,4008
20749,1914
18148,1707
1699,829
1877,2641
636,3256
24563,3127
18332,2334
24678,1197
23416,1956
6425,1196
11352,756
8327,159
11827,454
21165,2798
11029,2211
22316,1706
20895,743
1736,2914
20507,2128
18511,3937
21105,38
17492,1130
5670,1793
23170,3716
24441,3395
9727,4055
1608,1564
24417,697
3737,2943
12613,2889
13179,2943
13411,1053
19420,4017
24862,3756
21036,1690
20341,2357
28,3347
24155,3645
13938,383
15307,2390
7754,2311
24151,285
13134,937
14096,1760
12672,2540
10234,926
20824,1602
2374,3671
2014,2953
11153,395
5688,3945
16517,780
22107,3108
20531,1740
23396,2772
17554,2515
21160,3876
3445,1458
3132,2201
6589,1829
14573,2306
1282,307
587,3536
13654,3023
8497,2861
14660,756
7176,3463
5469,4064
336,3614
3929,3294
3696,1458
6154,326
5687,2851
24444,75
7267,785
3786,1048
1186,2808
19919,3181
24412,3739
12994,1749
5177,2554
4366,2481
15501,1338
8975,278
6153,2898
8661,3365
21807,928
10503,1386
8456,2298
21764,2642
2210,3388
7131,1805
7164,2302
20624,3135
16950,585
9658,794
6163,1413
13440,2496
7575,491
12517,1914
18588,3827
5893,1642
19478,457
5286,1996
9045,1995
3371,1979
2479,2154
4283,2300
17783,3536
5819,3716
19241,36
6707,167
4168,2445
21821,605
1141,3472
651,708
7395,2605
11073,59
21113,3401
11998,3448
8735,3812
3539,1015
14118,3660
23149,2528
12463,1956
18935,1027
19680,2438
10510,1375
19856,1066
10978,2579
10237,4069
504,2095
7240,3500
17699,3007
1353,329
21425,1018
5248,2650
17835,2356
8937,1638
11785,3808
9559,892
14723,1163
22500,1833
20494,3285
6350,107
1593,2967
8331,3037
17569,2766
19255,2361
4014,765
8647,1088
16229,3526
23271,758
14279,3768
3542,2396
16447,3801
24882,754
17801,3201
8408,79
10003,3394
8584,3505
203,3970
12520,3615
7251,2330
1169,1898
6908,892
7485,4009
21687,3173
23144,3742
11511,1451
12358,297
11159,2717
24841,3730
13377,3178
2983,1005
17851,3008
16372,3175
5678,2343
7947,3262
19427,3133
5921,1078
17380,3134
12124,3862
11865,473
11247,3348
11675,2560
1265,3268
7850,1318
14634,2340
18409,1220
9095,3526
24387,862
22543,1670
22162,949
17531,1942
1810,452
2316,3848
7389,1347
24205,2555
12504,2778
24706,2251
2089,2651
7668,2412
10488,3598
24985,3863
14772,1896
3729,1367
9445,2024
19893,2824
4264,769
18559,1295
19329,3752
3028,3708
15355,836
16597,3334
855,1358
23877,1942
24142,3913
8604,1923
21698,2725
18463,870
21001,1064
22157,3575
16982,3488
7177,1912
21054,1574
9463,1624
18831,3500
20772,1303
131,1107
19781,197
6597,3156
6594,1267
14239,233
16589,1131
10076,359
8894,1049
16511,874
14269,3286
3345,3348
16965,3795
19542,2109
10360,3841
11805,1646
5329,609
7639,1614
13701,4036
24573,1937
19045,2777
20234,242
9453,2622
24491,294
8392,2794
2631,2943
11125,932
13813,3919
18194,1644
9662,2418
2936,2595
12298,3426
21813,1439
20509,2666
22316,117
7630,811
947,144
12178,2389
3110,1821
21105,3806
15684,3436
19080,1466
9007,2133
15906,2401
19226,1426
19280,3968
24690,3372
3266,908
1587,3576
18053,3789
7666,2865
7889,1273
19155,52
19265,961
20688,452
22353,3399
15424,457
8258,860
17892,2918
8237,1506
2622,892
16129,4063
7598,1679
3776,3811
8153,591
12811,1279
646,2667
2742,3619
16580,629
5078,3164
13689,2421
22224,1606
4755,798
24357,32
1584,1507
11032,3442
15378,1177
16904,95
7518,698
8261,363
18761,194
23345,626
32,2265
4035,3616
5559,3656
14183,614
18949,666
6957,1384
1339,1851
22119,3318
3829,3859
10028,2137
1463,446
9817,855
4067,48
3328,3986
21590,1293
15693,251
23312,2909
24139,3950
23217,2713
21563,2462
1235,3911
10891,1183
12450,92
8933,2440
4304,2803
22654,1238
20195,110
9801,1675
13481,4075
8184,920
7921,421
10416,377
6395,576
2894,3450
18548,1415
23380,3065
7151,2441
22553,2277
21907,2524
21112,1651
2893,1211
15054,1650
19873,647
6631,2056
2950,3859
19261,19
13740,2577
15284,3700
19805,3575
14921,2091
5285,775
22756,2773
8058,500
17047,608
13607,2711
23402,2142
18319,3505
9680,72
3281,2385
16900,2853
9072,125
217,1284
