h_entity,t_entity,relation
21547,7206,0
12472,23466,0
19476,13878,0
2951,24344,0
1024,14936,0
7732,29255,0
7700,8574,0
24582,4722,0
4135,13937,0
10749,16890,0
14809,5536,0
25583,23423,0
27835,3282,0
17076,3844,0
19970,30568,0
10877,26257,0
22856,10576,0
5723,7283,0
8362,21136,0
27797,23844,0
27915,3603,0
23307,23218,0
18748,28319,0
26735,8986,0
27660,16775,0
24400,14964,0
16959,20820,0
655,3692,0
21706,19461,0
26608,5237,0
7431,5888,0
17381,23838,0
28512,14550,0
4189,8887,0
19477,929,0
29662,2285,0
30123,20691,0
212,11071,0
1312,30230,0
11600,24819,0
4129,20389,0
22312,16667,0
29779,20027,0
23020,13554,0
14087,9631,0
11989,24258,0
17970,4503,0
22722,19215,0
29994,18106,0
28518,30630,0
9073,13357,0
26627,25458,0
11735,6084,0
10558,27177,0
6458,14406,0
15009,1328,0
3106,9178,0
30223,22185,0
24460,12017,0
9899,29630,0
26339,12636,0
25548,30274,0
11133,25954,0
21019,3361,0
13951,5485,0
30431,10305,0
6081,28464,0
7588,26527,0
14470,12301,0
28108,6896,0
18666,5973,0
17314,26599,0
8973,28464,0
22450,11470,0
17980,15784,0
20617,18257,0
17838,14195,0
1292,14349,0
25999,5065,0
23832,23300,0
16838,1186,0
22064,7760,0
6,2578,0
26897,13619,0
16773,12424,0
5768,20527,0
15933,23521,0
3493,11604,0
26932,25691,0
15035,17389,0
10522,17844,0
1107,3223,0
23554,25929,0
24123,9295,0
27525,4550,0
18344,16859,0
22084,6302,0
26637,11147,0
22371,21914,0
13927,4026,0
18094,8478,0
14657,28809,0
26276,14333,0
10570,28935,0
24625,11746,0
7692,15500,0
29170,10546,0
8553,10547,0
26952,29408,0
27549,13558,0
16892,5602,0
10839,23471,0
8536,1904,0
9770,26725,0
29952,14641,0
28554,1186,0
19556,16403,0
28683,26646,0
1606,5549,0
27193,17483,0
25305,14935,0
12099,591,0
15415,5182,0
14827,28986,0
5727,10540,0
14316,8696,0
10398,25982,0
8714,10663,0
7782,2736,0
17782,12381,0
13894,20945,0
1360,26167,0
28133,3051,0
18197,26676,0
19583,1325,0
24091,18177,0
17637,23598,0
15197,21553,0
3551,16095,0
15326,11920,0
12286,18728,0
16986,9851,0
9965,1631,0
20502,23769,0
22642,10883,0
28928,19643,0
3561,9021,0
18088,25876,0
30078,10973,0
28128,21056,0
28926,2591,0
18206,3844,0
7247,11639,0
14671,25573,0
184,12934,0
16634,8306,0
23471,1015,0
18828,12726,0
8431,13378,0
3470,15184,0
8974,14503,0
4469,9657,0
13777,6232,0
30339,5032,0
71,22842,0
25144,23319,0
7680,5578,0
18096,28137,0
8707,13617,0
23574,21212,0
27412,25076,0
19074,6984,0
30564,11318,0
22489,3083,0
4091,1517,0
7018,5069,0
26111,21941,0
7241,1086,0
10373,8712,0
17295,2622,0
1777,12987,0
21552,4308,0
22939,8562,0
23343,10679,0
20055,15458,0
17499,17313,0
9773,30460,0
9246,7323,0
9092,13921,0
14936,23915,0
14562,26258,0
4749,10896,0
3107,8644,0
28626,26912,0
26984,27299,0
