h_entity,t_entity,relation
16025,1929,0
25177,102,0
9919,1929,0
25761,1298,0
27795,4014,0
4511,3078,0
28889,1929,0
20118,2228,0
10464,4006,0
14557,2028,0
9734,44,0
26339,1929,0
27520,1382,0
18844,4,0
15572,1668,0
9884,2612,0
17193,2651,0
13574,2898,0
15953,1680,0
28391,769,0
20727,1929,0
23867,307,0
24264,2648,0
27069,342,0
16269,14,0
28520,2536,0
7924,1929,0
10845,251,0
22364,1929,0
12509,1724,0
20733,2216,0
19883,1929,0
24481,2478,0
4522,1742,0
4618,1929,0
29080,2884,0
9814,251,0
4870,3986,0
4307,3127,0
15255,3200,0
10613,1298,0
6600,1298,0
19638,251,0
9734,3765,0
6604,389,0
7256,1396,0
10352,890,0
8210,1929,0
23763,890,0
5946,389,0
19213,3986,0
23156,1937,0
9767,2898,0
28249,548,0
26292,2387,0
21098,1298,0
8234,1929,0
25197,698,0
10711,282,0
6180,3250,0
18701,3289,0
8217,3132,0
20454,1929,0
28983,1298,0
24237,1732,0
9358,1128,0
11655,702,0
13421,1929,0
9248,1298,0
16493,1298,0
21566,1298,0
17230,2648,0
9594,1929,0
6050,567,0
6513,1298,0
19519,282,0
22898,3899,0
14827,2392,0
28095,1929,0
8571,2648,0
8316,900,0
22939,890,0
27509,3899,0
22241,2713,0
14033,2167,0
16408,1097,0
5675,912,0
16973,932,0
4828,251,0
18751,2213,0
5567,2692,0
13840,2216,0
23826,3625,0
27490,1929,0
25351,2392,0
24903,932,0
27860,1532,0
11857,2646,0
18035,1929,0
15617,2353,0
13920,614,0
14981,3305,0
28480,1857,0
28348,1298,0
14508,1929,0
22750,889,0
9148,151,0
26256,901,0
9569,2131,0
12472,2884,0
5648,808,0
26625,1598,0
23105,3349,0
21965,3322,0
24100,1680,0
13618,1929,0
20620,1298,0
18072,4001,0
9685,3409,0
16589,1298,0
15476,879,0
15378,1298,0
18185,2546,0
26085,893,0
27720,1298,0
14994,938,0
9958,2821,0
27932,3626,0
10526,1298,0
17095,1402,0
4642,890,0
26344,1929,0
26678,2478,0
7012,272,0
23444,2120,0
7432,2692,0
22517,1250,0
7124,1929,0
8050,3202,0
20798,3986,0
19219,3986,0
27359,2500,0
28381,1298,0
17479,1929,0
9085,2478,0
16189,912,0
6404,1298,0
17217,1298,0
17811,460,0
16785,2048,0
23564,1929,0
8308,3305,0
27457,3034,0
26187,1298,0
22953,1614,0
18934,3182,0
28732,753,0
18583,901,0
24339,1298,0
22965,75,0
17776,1298,0
5435,1929,0
24708,2283,0
10742,1298,0
22336,2003,0
10450,1929,0
22769,1298,0
7412,4001,0
10149,890,0
27985,2713,0
6901,912,0
19284,251,0
4482,1298,0
25389,3751,0
9443,1929,0
9490,1650,0
9531,145,0
17809,938,0
7456,829,0
14591,578,0
24570,1929,0
13613,1935,0
20200,2392,0
28558,523,0
10031,1249,0
22709,4022,0
5600,912,0
10059,1929,0
27189,1929,0
22144,213,0
4855,3507,0
19388,1929,0
26300,938,0
16054,163,0
6818,2302,0
7359,3341,0
15758,1929,0
15603,1239,0
12374,3322,0
17161,1298,0
17195,1929,0
9142,1922,0
9833,3078,0
6407,1298,0
23716,1929,0
15179,3899,0
9259,3848,0
23855,3275,0
15067,1919,0
12773,4035,0
26234,1929,0
20461,3066,0
12667,2456,0
7055,333,0
27238,251,0
15453,1298,0
5333,3682,0
18734,3971,0
13838,938,0
27621,3305,0
7935,2944,0
14631,1929,0
19696,2603,0
25324,1230,0
20710,1298,0
5793,1929,0
17274,1929,0
7918,2478,0
24958,871,0
26711,18,0
17231,2478,0
12499,450,0
12051,378,0
27188,1929,0
26773,2692,0
7882,237,0
4188,1986,0
4847,387,0
10551,1298,0
14594,3452,0
27862,1929,0
27597,1362,0
27149,161,0
8888,1298,0
21962,1298,0
23693,866,0
8932,2986,0
12041,2324,0
22468,3986,0
4553,1298,0
23029,2392,0
13368,389,0
16087,3862,0
7575,1298,0
18662,450,0
25187,1929,0
15350,3640,0
16747,2608,0
19052,15,0
7895,101,0
18966,1738,0
18375,3899,0
28692,1416,0
18096,3622,0
22709,1670,0
14860,1090,0
10216,176,0
10133,2120,0
23831,1298,0
13500,1297,0
21041,1328,0
6660,1929,0
9781,1929,0
27137,1298,0
16279,1929,0
18275,1919,0
12146,3507,0
16463,1929,0
16220,1011,0
5895,4001,0
16872,2599,0
10981,747,0
18842,1298,0
5137,890,0
12959,1929,0
7972,1041,0
8475,2713,0
8243,1298,0
20643,890,0
4437,472,0
5557,1298,0
23095,1398,0
14257,3901,0
28096,1929,0
24315,2311,0
24435,890,0
28582,3720,0
8895,1298,0
21805,2999,0
12392,2129,0
18535,1298,0
5267,1298,0
26124,557,0
9288,1929,0
9491,390,0
28652,2478,0
13753,1298,0
23785,3612,0
10554,3190,0
12513,499,0
23555,111,0
16074,1298,0
25965,2600,0
8285,117,0
25197,1232,0
7331,1298,0
12963,1929,0
24803,2772,0
7821,2735,0
5054,3616,0
10398,3047,0
6830,3899,0
27424,1298,0
6043,1298,0
14618,890,0
19884,2733,0
15810,1929,0
19515,1599,0
28822,1929,0
23863,2234,0
7937,3899,0
6975,1929,0
22655,2513,0
8652,1929,0
23040,1261,0
20382,1929,0
26906,52,0
8794,2559,0
25530,1298,0
21423,3631,0
4475,126,0
13194,1929,0
20708,2478,0
24072,1929,0
24044,250,0
5204,64,0
13321,1929,0
8996,1298,0
26916,3608,0
11302,2919,0
5177,1929,0
4257,1046,0
22029,2983,0
8224,1355,0
17189,3899,0
19209,1008,0
22836,1778,0
9119,1298,0
12708,3025,0
15994,899,0
9361,4042,0
25140,121,0
4903,217,0
9891,4001,0
25220,449,0
15237,1929,0
28416,1298,0
26000,1929,0
13607,3085,0
24468,1298,0
4642,2120,0
16214,1158,0
15518,1298,0
21773,1929,0
6412,3341,0
9426,1610,0
10442,1126,0
8296,4001,0
16746,2599,0
15887,3665,0
19023,1929,0
16119,1935,0
19858,2047,0
22295,1929,0
9832,1343,0
7572,592,0
12089,2089,0
15136,1929,0
8216,890,0
12557,2629,0
15036,1929,0
4789,3432,0
20760,673,0
26310,1929,0
25798,1298,0
13109,890,0
16866,3341,0
11915,926,0
20152,1929,0
24362,2283,0
25183,1011,0
7850,1929,0
7230,282,0
21182,912,0
8524,1929,0
12552,1298,0
14550,1298,0
23883,2836,0
20341,3754,0
27228,2772,0
27414,948,0
7262,540,0
8006,1929,0
16423,2042,0
20825,1298,0
18596,487,0
12470,1298,0
16252,3855,0
12779,4006,0
9471,1614,0
21214,3811,0
25243,1635,0
5903,2821,0
9218,3899,0
20724,2518,0
18144,2642,0
25258,2593,0
13398,3341,0
7678,3986,0
6466,1200,0
23903,1343,0
27395,1929,0
23111,4028,0
8829,2216,0
22045,129,0
11386,1929,0
8140,2786,0
27654,3341,0
26687,832,0
19067,1929,0
21095,3651,0
9849,1106,0
19848,1298,0
22495,1298,0
12359,2630,0
11229,1298,0
19619,2392,0
9886,3899,0
11614,2679,0
22958,1539,0
26276,1133,0
18419,2713,0
4638,811,0
16580,3278,0
20654,1298,0
18591,3479,0
26718,4001,0
12470,1929,0
24534,1680,0
7595,3534,0
23025,1298,0
17220,4002,0
5815,1929,0
28544,1298,0
9247,1298,0
11840,1298,0
14306,1298,0
6670,526,0
8896,1236,0
20936,1298,0
21880,2663,0
22198,44,0
8428,1298,0
10397,4001,0
5094,3621,0
16690,1414,0
4317,1298,0
5008,890,0
18621,3899,0
21304,1929,0
26765,1929,0
16117,1861,0
16632,3106,0
7344,3080,0
4673,1298,0
17462,1929,0
23233,2283,0
11513,3099,0
24841,1929,0
6677,2734,0
13490,1298,0
7890,1298,0
19349,4064,0
26603,1614,0
18381,1929,0
26061,3210,0
23716,1298,0
20267,1298,0
27245,1298,0
27191,2387,0
22603,2527,0
19956,1935,0
28718,2120,0
28565,1929,0
24277,1929,0
7987,1298,0
27739,2853,0
8561,1298,0
21099,3060,0
9108,599,0
5134,1298,0
26535,2821,0
9883,2501,0
13294,145,0
12599,3305,0
4291,4001,0
12846,2387,0
24552,1929,0
4704,1929,0
9626,3063,0
13302,3986,0
4260,1298,0
24278,3261,0
20487,1298,0
14387,1929,0
12540,1298,0
15520,3822,0
17020,486,0
28575,1929,0
20159,765,0
23673,1298,0
24570,1298,0
5013,1929,0
18104,938,0
10096,1680,0
4869,389,0
16404,4001,0
14322,1929,0
18735,799,0
19856,2839,0
15431,1929,0
19171,1929,0
27541,1298,0
23178,1352,0
11832,2793,0
18061,504,0
26829,2679,0
24062,3631,0
6242,1929,0
24699,1929,0
17411,3007,0
6567,3434,0
17961,1298,0
9769,1338,0
12617,2096,0
13909,2610,0
26266,3530,0
25796,938,0
21318,2478,0
27552,2216,0
12757,2537,0
13018,1929,0
26171,3578,0
27376,2980,0
28899,1041,0
15950,1929,0
26598,1929,0
10935,2392,0
15542,1929,0
6866,640,0
5615,1298,0
21318,3899,0
22028,4001,0
18719,2750,0
25785,2135,0
18068,890,0
8521,1929,0
11029,1250,0
19403,1298,0
7942,100,0
22644,1929,0
8241,3305,0
15856,1128,0
6467,2456,0
27453,3938,0
15964,3420,0
21073,1024,0
5583,526,0
26318,4001,0
14767,2478,0
14985,4001,0
9106,1929,0
18793,1011,0
8279,3199,0
19398,121,0
8446,3721,0
7662,890,0
12079,1929,0
18646,2500,0
18666,1098,0
11140,847,0
27612,3986,0
28528,1298,0
29074,443,0
26921,3507,0
26508,1929,0
10459,91,0
9241,1929,0
28233,3899,0
13308,102,0
14324,890,0
26139,1441,0
5413,1929,0
21486,1614,0
17341,2741,0
26478,2759,0
4933,2613,0
14390,1929,0
5205,1929,0
16539,2478,0
26137,2483,0
8511,3899,0
10615,3986,0
20918,1298,0
12710,1298,0
4570,1929,0
9812,161,0
12864,3341,0
22194,2392,0
4125,1929,0
19494,1929,0
12654,2418,0
7812,3547,0
6588,2959,0
25363,3341,0
26255,1929,0
13649,1929,0
25520,2579,0
14821,4056,0
8096,1298,0
24770,1614,0
14007,3521,0
11765,1298,0
25599,905,0
4685,3074,0
10299,536,0
23966,1475,0
19108,102,0
24850,3899,0
8536,1298,0
25596,4001,0
8693,1929,0
14471,3774,0
24516,3127,0
18254,2153,0
8794,1632,0
13884,1298,0
9263,1298,0
21967,1929,0
26466,3812,0
4675,1197,0
24955,2478,0
25078,14,0
13132,1929,0
25135,2412,0
20137,2167,0
22128,3651,0
5622,1618,0
19852,1929,0
8664,890,0
13768,3651,0
19197,1614,0
12605,1929,0
24362,2570,0
13104,1929,0
18834,3616,0
26549,2014,0
21562,2735,0
5836,1298,0
26004,1298,0
16425,1298,0
20346,2406,0
21536,938,0
8585,1375,0
4494,3659,0
25998,3341,0
19685,3358,0
21990,660,0
17670,264,0
11670,251,0
16540,1929,0
25685,1298,0
26378,798,0
25735,1298,0
19863,1298,0
7302,3781,0
20600,3292,0
5374,3485,0
8117,3305,0
7548,1298,0
10487,1298,0
8263,2155,0
25304,617,0
25475,2593,0
22413,393,0
14675,2945,0
7725,3656,0
16143,1092,0
23591,600,0
10859,1827,0
9416,1298,0
4134,1355,0
27295,1049,0
18905,1785,0
7151,1929,0
27716,2190,0
21517,2488,0
21088,1929,0
13765,1929,0
15931,1935,0
23272,1298,0
8332,418,0
28670,1436,0
25695,3382,0
28328,526,0
23174,1298,0
24151,1298,0
7680,2478,0
22716,14,0
13089,3028,0
16389,1806,0
7508,1929,0
9118,1298,0
23567,1922,0
22019,2734,0
25541,1929,0
10354,1929,0
8584,3299,0
18007,3169,0
19349,1433,0
9217,1706,0
26601,1286,0
8998,2478,0
20610,2964,0
22658,264,0
8919,279,0
17832,1041,0
25618,1298,0
22295,1298,0
7840,1929,0
13032,2387,0
16946,459,0
4838,1298,0
24979,2120,0
13605,3774,0
13155,251,0
8362,2213,0
21306,3786,0
6573,1180,0
28845,251,0
21179,1929,0
6589,4054,0
14007,180,0
13620,1830,0
12717,1298,0
25310,1298,0
5545,1929,0
17443,1764,0
21070,2298,0
7223,4001,0
20186,453,0
22916,1298,0
18416,644,0
19573,2593,0
11947,938,0
24931,1340,0
17852,1929,0
21595,443,0
11351,3327,0
25774,1929,0
9789,1929,0
19474,426,0
27608,37,0
19614,3899,0
27447,3142,0
28442,263,0
21361,3651,0
12091,1929,0
8472,1298,0
12871,1985,0
6522,907,0
17149,890,0
24545,1081,0
9127,1929,0
16589,1929,0
7306,1614,0
9946,1298,0
23447,1503,0
12018,1558,0
12832,1154,0
7329,4001,0
14998,3651,0
6019,3196,0
4957,1929,0
15193,802,0
6231,3415,0
27684,2679,0
16350,912,0
18568,577,0
7196,2721,0
18967,3406,0
16404,890,0
28498,3341,0
12687,1298,0
23355,1986,0
9132,2483,0
13530,1929,0
9602,1668,0
9111,1163,0
17872,1929,0
9931,3176,0
7613,1298,0
7237,2418,0
10566,1298,0
8013,3585,0
13404,4001,0
22273,1929,0
5466,3276,0
4485,600,0
24051,1929,0
4214,2759,0
5940,102,0
7377,3929,0
11588,653,0
4990,2488,0
26157,1614,0
19924,1298,0
27007,1929,0
12898,165,0
27351,1258,0
16689,3355,0
15301,2402,0
27828,2536,0
22058,1814,0
20522,2302,0
28971,1929,0
23559,1105,0
21734,1929,0
28585,1929,0
25157,3994,0
12065,3534,0
27145,3709,0
20710,4036,0
13893,1298,0
11508,1460,0
13578,1929,0
7416,1076,0
27543,1298,0
21862,1929,0
11809,1298,0
25763,1614,0
8449,912,0
10801,1929,0
5598,1929,0
27191,1935,0
13437,1298,0
21616,3856,0
6389,1307,0
11809,1929,0
27015,36,0
17880,2167,0
15505,4001,0
25315,151,0
18012,3341,0
11780,1298,0
11489,2648,0
18675,1929,0
15570,158,0
4251,1250,0
14992,1929,0
24073,822,0
14503,3078,0
10150,3015,0
10248,3986,0
13203,3986,0
4647,1028,0
10984,1789,0
16474,1298,0
8136,389,0
22717,4027,0
12061,1123,0
28955,3404,0
27985,102,0
6594,1929,0
6163,1298,0
21338,1298,0
19469,1632,0
9605,3899,0
6032,890,0
14606,378,0
16241,1929,0
4206,890,0
8280,1473,0
26396,1623,0
28703,3003,0
20814,938,0
22180,1929,0
28314,1929,0
23879,3603,0
25571,1298,0
12385,1250,0
8421,2841,0
27570,3249,0
28042,938,0
13967,3430,0
20364,2392,0
13520,1298,0
6186,3899,0
14618,2120,0
21497,912,0
18208,2392,0
22392,2392,0
16665,2392,0
18775,2860,0
6619,331,0
18373,1929,0
9860,664,0
21457,783,0
4639,1298,0
10204,121,0
18865,2882,0
21959,1929,0
28214,2946,0
7147,1298,0
28639,1298,0
14358,3651,0
18802,2392,0
20800,3351,0
9863,1929,0
21605,2685,0
15324,138,0
7081,1670,0
13821,1298,0
17563,1298,0
13749,1929,0
12101,849,0
21014,3943,0
16292,1298,0
18397,3108,0
7689,1106,0
11485,1614,0
25949,2266,0
7518,2838,0
20506,3436,0
6564,875,0
19583,1298,0
11391,1298,0
17650,3104,0
9630,3005,0
26480,2011,0
26922,1929,0
6818,748,0
5395,2292,0
25442,80,0
22726,1811,0
5131,2388,0
18218,2786,0
15189,3774,0
22750,1902,0
21630,1929,0
9037,3986,0
26151,3950,0
25489,1298,0
12009,1298,0
20608,3941,0
4113,2333,0
10363,1106,0
16867,2382,0
20219,2571,0
28744,2786,0
9066,3193,0
6988,1614,0
26743,3779,0
7621,1929,0
18576,1599,0
23324,1929,0
26097,1298,0
25149,912,0
15072,1929,0
22107,259,0
23768,3260,0
11236,2478,0
12177,3795,0
5963,1929,0
26066,664,0
20234,1298,0
28497,32,0
9305,1109,0
4355,1929,0
18722,912,0
27406,1298,0
9532,2478,0
12483,3239,0
25059,1675,0
25315,2734,0
10391,35,0
4291,2392,0
18788,2388,0
22602,1298,0
26614,1298,0
12439,1298,0
24113,523,0
17421,149,0
26032,207,0
25592,1386,0
13494,1929,0
6956,2049,0
11685,890,0
11661,890,0
12311,4001,0
24394,3900,0
4967,3651,0
21484,229,0
20361,1719,0
9007,1929,0
6709,1929,0
15233,3899,0
4837,2392,0
7726,389,0
13991,3501,0
14601,2392,0
13257,3899,0
18057,1297,0
19751,979,0
14163,2478,0
14475,1257,0
15251,1298,0
19380,2478,0
24726,2811,0
26315,1614,0
16714,3127,0
12681,1298,0
17183,1298,0
23750,1614,0
16508,1975,0
21627,1414,0
11643,1929,0
20628,4009,0
10082,1929,0
16438,2581,0
21504,2837,0
28180,2648,0
21430,89,0
26988,3986,0
19413,2630,0
28740,389,0
26399,1766,0
27335,1929,0
8525,3906,0
17893,1123,0
10056,2785,0
28067,4001,0
23849,1483,0
24906,750,0
10037,3533,0
23905,3349,0
9257,1298,0
21114,1298,0
7803,785,0
11791,3415,0
24623,3986,0
6704,1929,0
23099,1298,0
11952,1929,0
6906,592,0
5346,1718,0
27172,2392,0
22673,1298,0
28247,2808,0
4933,3671,0
25924,2513,0
4535,1523,0
9213,1929,0
16017,75,0
18165,1929,0
20636,3773,0
28658,1815,0
9590,1935,0
17514,102,0
22379,2793,0
5134,1929,0
20527,233,0
27177,712,0
24014,886,0
20073,636,0
11498,3396,0
11854,1929,0
7174,1929,0
20013,1929,0
13738,2774,0
14394,305,0
28154,1298,0
4901,2500,0
4645,1929,0
12953,2721,0
26117,3727,0
14012,2392,0
13583,1929,0
11195,2028,0
10493,2004,0
4544,2234,0
11188,2392,0
21712,1929,0
7069,1929,0
14683,2387,0
21162,3459,0
16654,938,0
8724,1929,0
15556,3065,0
22680,245,0
7740,1929,0
20895,624,0
21746,3899,0
17296,3271,0
17436,1298,0
11413,4022,0
9761,2392,0
13938,3504,0
27777,1298,0
22536,1298,0
16376,2858,0
12374,3351,0
28668,2582,0
5832,2309,0
28457,3766,0
17593,450,0
11608,1298,0
21508,1298,0
5252,1128,0
25712,1929,0
28994,3594,0
28944,894,0
17538,890,0
4253,2518,0
4240,4070,0
7377,1995,0
11914,1929,0
28375,378,0
4170,912,0
12535,3039,0
22301,2392,0
4904,1250,0
6229,1298,0
27753,508,0
20578,1466,0
12977,1929,0
6209,3061,0
26423,1665,0
17371,1548,0
23494,1419,0
16625,2934,0
28499,2387,0
5021,1078,0
17863,1788,0
5005,1298,0
17864,1929,0
22646,826,0
4487,1298,0
29035,2071,0
11438,3332,0
8385,1856,0
16633,2112,0
4992,1929,0
13457,1636,0
5438,1298,0
15723,1773,0
27532,2478,0
27328,2386,0
5880,901,0
6604,205,0
21974,1298,0
22605,3853,0
19839,1922,0
5944,3801,0
22737,1929,0
28606,996,0
9915,1298,0
4869,1929,0
16049,2120,0
9480,2600,0
9618,1298,0
26804,3777,0
14777,2391,0
17495,2478,0
4257,3474,0
26564,1929,0
23289,1863,0
15934,1298,0
15722,2593,0
10634,3986,0
17969,2528,0
28771,1133,0
21751,3435,0
28377,1929,0
12889,1614,0
10106,1922,0
10965,2167,0
6809,523,0
9625,1041,0
26078,3275,0
12019,1929,0
15601,1298,0
26201,1106,0
7559,1929,0
27285,1298,0
4113,389,0
23060,1929,0
5973,397,0
7215,1919,0
23038,1929,0
21832,2392,0
24840,1986,0
12861,1929,0
9455,1834,0
21621,3964,0
16778,3986,0
27422,2155,0
5084,3382,0
20455,2545,0
12134,1298,0
21047,4006,0
17892,102,0
14173,2478,0
8275,1298,0
