,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.005110685675656399,2020-08-12 08:05:24.663745,2020-08-12 08:24:04.936056,0 days 00:18:40.272311000,512,112.0,0.0009818419254385004,0.9866941670458675,15,0.006408213233922799,COMPLETE
1,1,-0.11549928050206755,2020-08-12 08:24:04.936584,2020-08-12 08:56:14.635605,0 days 00:32:09.699021000,256,128.0,0.0017423461783928876,0.5666749859571177,22,2.3301130604115375e-05,COMPLETE
2,2,-0.011847030998142546,2020-08-12 08:56:14.636085,2020-08-12 09:19:53.692575,0 days 00:23:39.056490000,384,128.0,0.0006261120226125404,0.8271781487229103,15,0.00039276707949365545,COMPLETE
3,3,-0.005110685675656399,2020-08-12 09:19:53.693057,2020-08-12 09:52:21.375768,0 days 00:32:27.682711000,256,16.0,0.000966956854182153,0.827152234268671,91,0.0034382140850355903,COMPLETE
4,4,-0.09285503868694915,2020-08-12 09:52:21.376285,2020-08-12 10:14:34.819315,0 days 00:22:13.443030000,384,16.0,0.0033743632373257697,0.9009592889459309,47,0.000205950321920009,COMPLETE
5,5,-0.09037176860032714,2020-08-12 10:14:34.819781,2020-08-12 10:37:37.656548,0 days 00:23:02.836767000,384,112.0,0.0010413551330406975,0.92599319258745,85,0.0006151623890802832,COMPLETE
6,6,-0.009134328097019084,2020-08-12 10:37:37.657012,2020-08-12 10:55:14.317136,0 days 00:17:36.660124000,512,32.0,0.0002518641697522483,0.9641860314200523,10,0.00032884769410722857,COMPLETE
7,7,-0.01051243560528264,2020-08-12 10:55:14.317596,2020-08-12 11:55:15.682810,0 days 01:00:01.365214000,128,64.0,0.0002489176774633406,0.7751861298522268,29,0.0017644116157101068,COMPLETE
8,8,-0.006558958769780767,2020-08-12 11:55:15.683304,2020-08-12 12:28:02.292554,0 days 00:32:46.609250000,256,112.0,0.00012117826105463299,0.6624782462534455,28,0.008852617725414765,COMPLETE
9,9,-0.005110685675656399,2020-08-12 12:28:02.293010,2020-08-12 12:51:02.232458,0 days 00:22:59.939448000,384,112.0,0.007502281506997539,0.9077500696660155,21,0.004604872351064528,COMPLETE
10,10,-0.08496712704672625,2020-08-12 12:51:02.232918,2020-08-12 13:48:52.713845,0 days 00:57:50.480927000,128,80.0,0.003200277459376687,0.5045232589039342,60,9.341280321854278e-06,COMPLETE
11,11,-0.0917493170438142,2020-08-12 13:48:52.714315,2020-08-12 14:20:30.820639,0 days 00:31:38.106324000,256,48.0,0.0034694250432178745,0.6120265610246276,48,2.7974989705114622e-05,COMPLETE
12,12,-0.12486484872666602,2020-08-12 14:20:30.821100,2020-08-12 14:41:59.086062,0 days 00:21:28.264962000,384,80.0,0.003025018783732346,0.5145728526260145,47,1.0226196557673043e-06,COMPLETE
13,13,-0.07233016057657972,2020-08-12 14:41:59.086537,2020-08-12 15:11:35.386277,0 days 00:29:36.299740000,256,80.0,0.007818590893343169,0.5073271364916373,71,1.2665704609074584e-06,COMPLETE
14,14,-0.13882501262486024,2020-08-12 15:11:35.386740,2020-08-12 16:05:57.825565,0 days 00:54:22.438825000,128,96.0,0.0015695452369070904,0.587654635044607,38,1.0608011779839554e-06,COMPLETE
