,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.14357711358178576,2020-08-12 08:05:15.044276,2020-08-12 08:10:15.598502,0 days 00:05:00.554226000,256,128.0,0.008506809264857996,0.6269522543414221,72,1.597787998878324e-05,COMPLETE
1,1,-0.039457971348176586,2020-08-12 08:10:15.599063,2020-08-12 08:15:08.318366,0 days 00:04:52.719303000,512,112.0,0.0029493278181156705,0.9503347967431444,79,0.0008277372983429894,COMPLETE
2,2,-0.007018207236705156,2020-08-12 08:15:08.318883,2020-08-12 08:20:25.734395,0 days 00:05:17.415512000,512,48.0,0.00010554739352996286,0.75465595691134,36,0.0003384051984868559,COMPLETE
3,3,-0.14707399984102365,2020-08-12 08:20:25.734897,2020-08-12 08:25:26.453753,0 days 00:05:00.718856000,128,32.0,0.0020731655963869594,0.5269855445995658,77,5.1156689711598465e-05,COMPLETE
4,4,-0.006599955240277205,2020-08-12 08:25:26.454245,2020-08-12 08:30:23.477060,0 days 00:04:57.022815000,512,128.0,0.0034164143700833125,0.7029125292902114,13,0.0034564937419826144,COMPLETE
5,5,-0.13971924867242957,2020-08-12 08:30:23.477568,2020-08-12 08:35:25.391121,0 days 00:05:01.913553000,384,64.0,0.006085801283295649,0.8716839953744551,80,4.2260541940692565e-06,COMPLETE
6,6,-0.1033321806781784,2020-08-12 08:35:25.391638,2020-08-12 08:40:30.857033,0 days 00:05:05.465395000,128,96.0,0.004598636770041094,0.5330246586963512,62,0.0005917611284624591,COMPLETE
7,7,-0.0071694280222243875,2020-08-12 08:40:30.857495,2020-08-12 08:45:35.693166,0 days 00:05:04.835671000,256,32.0,0.00014595169902775616,0.5525092397997495,12,0.0031346047952146598,COMPLETE
8,8,-0.00977187432276284,2020-08-12 08:45:35.693628,2020-08-12 08:50:37.028705,0 days 00:05:01.335077000,256,48.0,0.0025671981402813873,0.7824782750986703,49,0.0019780575762526217,COMPLETE
9,9,-0.008275735431661508,2020-08-12 08:50:37.029191,2020-08-12 08:56:02.845191,0 days 00:05:25.816000000,384,128.0,0.0006507902529994801,0.8899853271546501,12,2.321318681290529e-06,COMPLETE
10,10,-0.14216551095703403,2020-08-12 08:56:02.845652,2020-08-12 09:02:26.050842,0 days 00:06:23.205190000,128,16.0,0.0007626830832336738,0.637675277787695,96,4.198744135291918e-05,COMPLETE
11,11,-0.13974497249409035,2020-08-12 09:02:26.051310,2020-08-12 09:07:53.609029,0 days 00:05:27.557719000,128,96.0,0.0014249724959354713,0.6204260071635394,75,2.4194392725918798e-05,COMPLETE
12,12,-0.012191666932714194,2020-08-12 09:07:53.609559,2020-08-12 09:13:49.737761,0 days 00:05:56.128202000,256,16.0,0.0002413887899979762,0.515460059063522,97,1.08786060737833e-05,COMPLETE
13,13,-0.14432399333611376,2020-08-12 09:13:49.738226,2020-08-12 09:18:49.815299,0 days 00:05:00.077073000,128,80.0,0.008332915092574332,0.6131546248053523,64,0.00010973419655664343,COMPLETE
14,14,-0.13563054636010902,2020-08-12 09:18:49.815766,2020-08-12 09:23:59.005469,0 days 00:05:09.189703000,128,80.0,0.0014339972452053207,0.5777737980121489,48,0.00012635103895298902,COMPLETE
15,15,-0.13176178491253226,2020-08-12 09:23:59.005929,2020-08-12 09:28:56.831195,0 days 00:04:57.825266000,128,64.0,0.00965955758984732,0.5026317356167745,60,0.00014924201067155522,COMPLETE
16,16,-0.13550731714292627,2020-08-12 09:28:56.831701,2020-08-12 09:35:42.410933,0 days 00:06:45.579232000,128,80.0,0.00038832442526534475,0.6946422805991548,90,6.256222721859644e-05,COMPLETE
17,17,-0.11574931003579811,2020-08-12 09:35:42.411397,2020-08-12 09:40:52.372313,0 days 00:05:09.960916000,256,48.0,0.0018265229117587923,0.5983423992881023,35,0.00021982835119827905,COMPLETE
18,18,-0.12294294849015984,2020-08-12 09:40:52.372820,2020-08-12 09:45:51.834527,0 days 00:04:59.461707000,384,32.0,0.005689930627944449,0.6767370756911288,68,7.716230298147572e-06,COMPLETE
19,19,-0.006311201762071884,2020-08-12 09:45:51.834988,2020-08-12 09:51:05.138408,0 days 00:05:13.303420000,128,96.0,0.0009530821088839697,0.5044263008645836,87,0.009007466069822544,COMPLETE
20,20,-0.010686509177531025,2020-08-12 09:51:05.138916,2020-08-12 09:55:53.237133,0 days 00:04:48.098217000,256,32.0,0.009411210257198802,0.5630419359916266,51,1.1931175437048526e-06,COMPLETE
21,21,-0.14221762334535543,2020-08-12 09:55:53.237670,2020-08-12 10:00:46.927154,0 days 00:04:53.689484000,256,80.0,0.008963910944254489,0.6450002124399881,71,2.4547283844890047e-05,COMPLETE
22,22,-0.14432422691714983,2020-08-12 10:00:46.927707,2020-08-12 10:05:37.563840,0 days 00:04:50.636133000,128,112.0,0.007053827776720447,0.5978091526723697,65,1.573542701698075e-05,COMPLETE
23,23,-0.14808128012077762,2020-08-12 10:05:37.564310,2020-08-12 10:10:41.213497,0 days 00:05:03.649187000,128,112.0,0.004535093750976935,0.5802958703672806,62,5.72386955086501e-05,COMPLETE
24,24,-0.13598256665711983,2020-08-12 10:10:41.213986,2020-08-12 10:15:31.438151,0 days 00:04:50.224165000,128,112.0,0.004232332336664421,0.5795023270708037,55,5.0811014180016426e-05,COMPLETE
25,25,-0.13363234607974162,2020-08-12 10:15:31.438617,2020-08-12 10:20:53.642580,0 days 00:05:22.203963000,128,112.0,0.002472332597659255,0.5049263142357046,37,5.061530586245322e-06,COMPLETE
26,26,-0.13648900374810075,2020-08-12 10:20:53.643044,2020-08-12 10:25:59.422136,0 days 00:05:05.779092000,128,112.0,0.0018934945574364253,0.8156309254479499,84,3.0302503239977327e-05,COMPLETE
27,27,-0.14176461697485337,2020-08-12 10:25:59.422600,2020-08-12 10:31:03.428766,0 days 00:05:04.006166000,128,96.0,0.006159994765618893,0.545537119257265,42,1.4538743835837712e-05,COMPLETE
28,28,-0.1510394160725724,2020-08-12 10:31:03.429236,2020-08-12 10:36:04.726562,0 days 00:05:01.297326000,256,128.0,0.004401320347626677,0.6677703016681966,27,7.15307198570731e-05,COMPLETE
29,29,-0.14992499084524513,2020-08-12 10:36:04.727030,2020-08-12 10:40:48.506324,0 days 00:04:43.779294000,384,128.0,0.004117228349679126,0.661414781030509,28,7.171724224137043e-05,COMPLETE
30,30,-0.11805254966380874,2020-08-12 10:40:48.506797,2020-08-12 10:45:43.967915,0 days 00:04:55.461118000,384,128.0,0.004245594154169552,0.7167510455224354,24,0.00025288997479873426,COMPLETE
31,31,-0.15295878914576957,2020-08-12 10:45:43.968383,2020-08-12 10:50:36.577377,0 days 00:04:52.608994000,384,128.0,0.0032366638193992974,0.6657451636572718,25,6.390098273469052e-05,COMPLETE
32,32,-0.1427028874019305,2020-08-12 10:50:36.577861,2020-08-12 10:55:18.843740,0 days 00:04:42.265879000,384,128.0,0.0037268714620016736,0.6696944288537182,25,8.788528284733265e-05,COMPLETE
33,33,-0.030560693979212496,2020-08-12 10:55:18.844206,2020-08-12 11:00:16.316965,0 days 00:04:57.472759000,384,128.0,0.0031445472871415863,0.6550456289832772,22,0.0006250514501980641,COMPLETE
34,34,-0.12922345776240696,2020-08-12 11:00:16.317437,2020-08-12 11:05:13.835151,0 days 00:04:57.517714000,512,112.0,0.005187657902484232,0.741575571689722,30,0.00039297272433056927,COMPLETE
35,35,-0.14962527458167474,2020-08-12 11:05:13.835631,2020-08-12 11:10:19.158068,0 days 00:05:05.322437000,384,128.0,0.003105629854795615,0.7083283749487328,21,7.825465677799934e-05,COMPLETE
36,36,-0.0504541006079724,2020-08-12 11:10:19.158537,2020-08-12 11:15:30.731999,0 days 00:05:11.573462000,384,128.0,0.0014054196758804495,0.7293214014154437,20,0.00018831261975258226,COMPLETE
37,37,-0.1370183477495931,2020-08-12 11:15:30.732488,2020-08-12 11:20:38.579634,0 days 00:05:07.847146000,512,128.0,0.002807640074819284,0.7753438140226337,17,7.882029106049766e-05,COMPLETE
38,38,-0.013173943617332876,2020-08-12 11:20:38.580119,2020-08-12 11:25:35.594026,0 days 00:04:57.013907000,384,128.0,0.002198710720885539,0.6903900860881976,31,0.0009777816499775371,COMPLETE
39,39,-0.11104298950465277,2020-08-12 11:25:35.594496,2020-08-12 11:30:28.778419,0 days 00:04:53.183923000,512,112.0,0.0070322238750558565,0.8225410132656059,28,0.0003623248970006972,COMPLETE
40,40,-0.1471804330448997,2020-08-12 11:30:28.778900,2020-08-12 11:35:40.228470,0 days 00:05:11.449570000,384,128.0,0.002844274268801833,0.7677555446987945,16,3.7749766067013204e-05,COMPLETE
41,41,-0.1439432231586007,2020-08-12 11:35:40.228941,2020-08-12 11:40:34.901568,0 days 00:04:54.672627000,384,112.0,0.0035777206119341695,0.6603330011439454,44,7.561383428651982e-05,COMPLETE
42,42,-0.15061845759594786,2020-08-12 11:40:34.902036,2020-08-12 11:45:35.140651,0 days 00:05:00.238615000,384,128.0,0.0047133720504803,0.7062337109977312,10,5.296913322097111e-05,COMPLETE
43,43,-0.13940745293897167,2020-08-12 11:45:35.141182,2020-08-12 11:50:38.248068,0 days 00:05:03.106886000,384,128.0,0.003510570843398187,0.7091698214487832,17,2.6017540221294668e-05,COMPLETE
44,44,-0.14130573204992847,2020-08-12 11:50:38.248566,2020-08-12 11:55:30.348831,0 days 00:04:52.100265000,256,128.0,0.007322009001786028,0.7359857445424131,10,0.00011322198527169396,COMPLETE
45,45,-0.143244915945344,2020-08-12 11:55:30.349296,2020-08-12 12:00:32.522830,0 days 00:05:02.173534000,384,128.0,0.005126496923059621,0.6268631492817777,34,4.05664094214275e-05,COMPLETE
46,46,-0.13591228415698675,2020-08-12 12:00:32.523300,2020-08-12 12:05:44.995777,0 days 00:05:12.472477000,384,112.0,0.0020981581199214757,0.9842089223653944,10,0.00015849387814282967,COMPLETE
47,47,-0.13687719011181987,2020-08-12 12:05:44.996243,2020-08-12 12:11:07.663085,0 days 00:05:22.666842000,256,96.0,0.0016693240912234845,0.6801756543898236,27,1.964846947688004e-05,COMPLETE
48,48,-0.14621060771261132,2020-08-12 12:11:07.663585,2020-08-12 12:16:04.336942,0 days 00:04:56.673357000,512,128.0,0.00402177109969177,0.795603082539053,15,0.00010094058084151203,COMPLETE
49,49,-0.021795970168832925,2020-08-12 12:16:04.337418,2020-08-12 12:21:23.363430,0 days 00:05:19.026012000,384,128.0,0.0010985188562356114,0.7533412041834858,19,1.0291726856356652e-05,COMPLETE
