,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.057768030743662165,2020-09-02 10:57:05.259056,2020-09-02 11:20:55.248744,0 days 00:23:49.989688000,1.564158698229085e-05,256,96.0,0.0033338869537711167,0.8061121406909785,5.538276388101876e-06,COMPLETE
1,1,-0.09925352932871334,2020-09-02 11:20:55.249223,2020-09-02 11:39:54.408877,0 days 00:18:59.159654000,0.00016053644330993728,384,32.0,0.00032431285534185035,0.5604145902853969,0.006776648409051794,COMPLETE
2,2,-0.15042509182170166,2020-09-02 11:39:54.409329,2020-09-02 11:56:34.785723,0 days 00:16:40.376394000,2.8669474988858615e-05,512,48.0,0.0009677930479882113,0.9264861319948792,1.805253603506562e-06,COMPLETE
3,3,-0.1377520453692292,2020-09-02 11:56:34.786180,2020-09-02 12:15:37.171987,0 days 00:19:02.385807000,1.914196890349186e-05,384,32.0,0.0007995869563775496,0.5490185119284308,0.00011359402286480671,COMPLETE
4,4,-0.11715167880181332,2020-09-02 12:15:37.172475,2020-09-02 12:34:41.017625,0 days 00:19:03.845150000,2.4221722858862036e-06,384,112.0,0.003060212489096159,0.7232519387085954,0.0030877298513022136,COMPLETE
5,5,-0.11018501494667428,2020-09-02 12:34:41.018090,2020-09-02 12:58:40.454011,0 days 00:23:59.435921000,2.2692657736126948e-06,256,80.0,0.007306526875784557,0.5001357076546653,2.132277065053382e-05,COMPLETE
6,6,-0.1167332429672456,2020-09-02 12:58:40.454469,2020-09-02 13:15:12.831683,0 days 00:16:32.377214000,9.849425620223561e-06,512,112.0,0.0047926305085983275,0.8842750916892492,0.002710171639682649,COMPLETE
7,7,-0.005110685675656399,2020-09-02 13:15:12.832138,2020-09-02 13:54:55.019239,0 days 00:39:42.187101000,7.31429133403327e-05,128,16.0,0.00275119333503022,0.8574116634437912,7.424816722497968e-05,COMPLETE
8,8,-0.10926233175548304,2020-09-02 13:54:55.019720,2020-09-02 14:13:53.769043,0 days 00:18:58.749323000,4.479383372464835e-05,384,96.0,0.008693501774826584,0.6817023842997119,0.0010864293904811085,COMPLETE
9,9,-0.10386755359222986,2020-09-02 14:13:53.769501,2020-09-02 14:53:34.203196,0 days 00:39:40.433695000,2.8118375894051975e-06,128,48.0,0.005339013098375597,0.7348756341668291,0.006764477274263233,COMPLETE
