,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.12854234067269224,2020-08-07 13:00:52.340918,2020-08-07 13:06:06.575188,0 days 00:05:14.234270000,1.5685020762426585e-05,256,112.0,0.009243662983552258,0.7669379275520085,56,2.550005185958941e-05,COMPLETE
1,1,-0.03312429749252614,2020-08-07 13:06:06.575730,2020-08-07 13:12:32.299343,0 days 00:06:25.723613000,0.0012682745208229885,128,16.0,0.0007588513059099962,0.9848842151738488,78,0.00015372669046760513,COMPLETE
2,2,-0.05221310990541257,2020-08-07 13:12:32.299860,2020-08-07 13:20:18.786639,0 days 00:07:46.486779000,8.463307512850573e-05,128,112.0,0.0001419910231464446,0.6764070438551177,60,5.363488610376262e-05,COMPLETE
3,3,-0.0944972117750913,2020-08-07 13:20:18.787157,2020-08-07 13:27:21.088087,0 days 00:07:02.300930000,0.0011592303204458108,256,96.0,0.0007381201304979886,0.8673834348800789,90,0.0002679247367445405,COMPLETE
4,4,-0.10404945580080505,2020-08-07 13:27:21.088598,2020-08-07 13:33:34.083460,0 days 00:06:12.994862000,1.2707237167051549e-05,384,112.0,0.0025244997775201667,0.9943709712875404,12,6.433076225385791e-05,COMPLETE
5,5,-0.007069295971698121,2020-08-07 13:33:34.083973,2020-08-07 13:39:14.153957,0 days 00:05:40.069984000,0.005201207354525324,384,96.0,0.00012527960215331883,0.7416191798305423,86,0.001090122387138422,COMPLETE
6,6,-0.042103790533672594,2020-08-07 13:39:14.154478,2020-08-07 13:44:38.362040,0 days 00:05:24.207562000,0.0004071505883145042,384,112.0,0.0008054102284144264,0.5918552208033396,13,1.4904335817894748e-05,COMPLETE
7,7,-0.03148667928261573,2020-08-07 13:44:38.362567,2020-08-07 13:50:09.225884,0 days 00:05:30.863317000,0.005906712064513022,256,16.0,0.009016083710113695,0.7966439027007082,30,0.00030640565102918514,COMPLETE
8,8,-0.04771689564361132,2020-08-07 13:50:09.226401,2020-08-07 13:56:06.400683,0 days 00:05:57.174282000,1.37535486124846e-05,512,96.0,0.0003832532280695026,0.6760281820914531,87,0.000360077338902433,COMPLETE
9,9,-0.030499808878777554,2020-08-07 13:56:06.401232,2020-08-07 14:01:24.915915,0 days 00:05:18.514683000,0.0018779315378905197,384,16.0,0.005279351233678108,0.9551788998038819,12,9.896198980928207e-06,COMPLETE
10,10,-0.08294720980183543,2020-08-07 14:01:24.916470,2020-08-07 14:06:49.765972,0 days 00:05:24.849502000,1.0050035797528974e-06,256,48.0,0.0023868755772142197,0.5030392726301067,45,1.4661048152011424e-06,COMPLETE
11,11,-0.10221857607942827,2020-08-07 14:06:49.766497,2020-08-07 14:12:06.105850,0 days 00:05:16.339353000,4.389340779708558e-06,512,128.0,0.003180315491065306,0.8849592568122646,58,0.009532083349271359,COMPLETE
12,12,-0.125697660835351,2020-08-07 14:12:06.106388,2020-08-07 14:17:29.509352,0 days 00:05:23.402964000,1.8144661226158823e-05,384,64.0,0.008614964093813276,0.8716082319867174,36,1.1608917781199475e-05,COMPLETE
13,13,-0.10301777821457717,2020-08-07 14:17:29.509881,2020-08-07 14:22:31.100994,0 days 00:05:01.591113000,5.9893854559635305e-05,256,64.0,0.009076962950892088,0.8231306727338598,40,1.323076936400293e-06,COMPLETE
14,14,-0.08273485448621959,2020-08-07 14:22:31.101518,2020-08-07 14:27:43.961469,0 days 00:05:12.859951000,1.2705167393282227e-06,128,48.0,0.0049093155200185925,0.9044407714433738,69,6.2512746982405846e-06,COMPLETE
15,15,-0.09962564190335321,2020-08-07 14:27:43.962009,2020-08-07 14:32:54.955281,0 days 00:05:10.993272000,2.8222561085042545e-05,512,64.0,0.009123348957951864,0.7414683861073387,28,2.1120803706023e-05,COMPLETE
16,16,-0.09568932040998837,2020-08-07 14:32:54.955821,2020-08-07 14:38:13.898649,0 days 00:05:18.942828000,3.47122104006939e-06,256,80.0,0.0015992905516410147,0.8112562565728185,47,3.5058472250063947e-06,COMPLETE
17,17,-0.0854450566982637,2020-08-07 14:38:13.899177,2020-08-07 14:43:26.977388,0 days 00:05:13.078211000,0.00016303695547958524,384,48.0,0.005258736265845652,0.6860373060399494,26,4.0732120528476775e-05,COMPLETE
18,18,-0.06562673118131652,2020-08-07 14:43:26.977921,2020-08-07 14:49:41.193119,0 days 00:06:14.215198000,5.866853515924136e-06,256,128.0,0.00027974305173506837,0.9292696688558689,66,3.3723107844826246e-06,COMPLETE
19,19,-0.08966288743056862,2020-08-07 14:49:41.193651,2020-08-07 14:54:59.596140,0 days 00:05:18.402489000,2.4621152166727478e-05,384,80.0,0.0015314592053174388,0.834660376447035,38,2.5293452668701944e-05,COMPLETE
20,20,-0.06612039164974358,2020-08-07 14:54:59.596664,2020-08-07 15:00:20.756479,0 days 00:05:21.159815000,0.00020967616015139635,512,32.0,0.006022870784920381,0.62647738897944,51,0.00112852015138442,COMPLETE
21,21,-0.12373523112663379,2020-08-07 15:00:20.757013,2020-08-07 15:05:38.321942,0 days 00:05:17.564929000,1.068257698098486e-05,384,112.0,0.002824861360805235,0.9978283904217511,17,7.563231377293986e-05,COMPLETE
22,22,-0.1248897648139094,2020-08-07 15:05:38.322468,2020-08-07 15:10:55.041138,0 days 00:05:16.718670000,2.0686415284362837e-06,384,128.0,0.0034936603079439156,0.7626688951127595,21,0.00010594611060956775,COMPLETE
23,23,-0.13573721242675812,2020-08-07 15:10:55.041684,2020-08-07 15:15:54.495525,0 days 00:04:59.453841000,2.1022944702755104e-06,384,128.0,0.007130611557522889,0.7739838708177951,22,0.00013134502914043312,COMPLETE
24,24,-0.12145899087605472,2020-08-07 15:15:54.496050,2020-08-07 15:21:24.219642,0 days 00:05:29.723592000,2.6754538790981338e-05,256,80.0,0.009620993532992032,0.847728019961799,35,6.812476668178716e-06,COMPLETE
25,25,-0.12208501827279011,2020-08-07 15:21:24.220173,2020-08-07 15:26:36.133975,0 days 00:05:11.913802000,4.3787261559263044e-05,384,64.0,0.0070096032963528395,0.7797427132093275,53,0.0008466675905639178,COMPLETE
26,26,-0.1207907619613463,2020-08-07 15:26:36.134502,2020-08-07 15:32:14.242691,0 days 00:05:38.108189000,6.917531314810092e-06,256,128.0,0.0037270939540402373,0.7138250599482474,44,2.630879139050163e-05,COMPLETE
