,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.027937126342572283,2020-08-07 13:00:17.483566,2020-08-07 13:56:21.793402,0 days 00:56:04.309836000,128,16.0,0.0004983584515589185,0.6589640950033118,22,2.738325759457934e-05,COMPLETE
1,1,-0.13848230106480358,2020-08-07 13:56:21.793940,2020-08-07 14:19:49.914619,0 days 00:23:28.120679000,384,80.0,0.0020720222992753013,0.8722100739959983,74,6.909129499833097e-05,COMPLETE
2,2,-0.03967616740383454,2020-08-07 14:19:49.915113,2020-08-07 14:42:38.612846,0 days 00:22:48.697733000,384,32.0,0.0006367988079348165,0.5392700723491165,43,2.7585996974839987e-06,COMPLETE
3,3,-0.12673023786721355,2020-08-07 14:42:38.613330,2020-08-07 15:03:16.454434,0 days 00:20:37.841104000,512,128.0,0.0057283742479301855,0.8767212777389193,100,0.0016572255927578402,COMPLETE
4,4,-0.05774949756019089,2020-08-07 15:03:16.454914,2020-08-07 15:26:21.585551,0 days 00:23:05.130637000,384,112.0,0.00020208543574355966,0.6019221341992111,92,1.4794272706586831e-05,COMPLETE
5,5,-0.0842760071993724,2020-08-07 15:26:21.586086,2020-08-07 16:14:27.367955,0 days 00:48:05.781869000,128,64.0,0.00026368549631708855,0.5909297162868192,91,0.0007686781965676656,COMPLETE
6,6,-0.040532355517420585,2020-08-07 16:14:27.368448,2020-08-07 16:37:06.130910,0 days 00:22:38.762462000,384,32.0,0.0011948018786721048,0.6275768896147298,19,0.002962498214528379,COMPLETE
7,7,-0.06752099037023844,2020-08-07 16:37:06.131403,2020-08-07 16:57:11.050795,0 days 00:20:04.919392000,512,112.0,0.0009258207209697858,0.5340366133743879,35,0.0009282342599173312,COMPLETE
8,8,-0.011758439779782973,2020-08-07 16:57:11.051290,2020-08-07 17:16:43.272465,0 days 00:19:32.221175000,512,48.0,0.00017085955796600227,0.9268265275460137,24,7.644685091085163e-06,COMPLETE
9,9,-0.14049829775135653,2020-08-07 17:16:43.272958,2020-08-07 17:45:03.720326,0 days 00:28:20.447368000,256,32.0,0.003637912756848148,0.5375522123942127,42,0.0007824422667110987,COMPLETE
10,10,-0.10241432159551306,2020-08-07 17:45:03.720808,2020-08-07 18:13:05.839453,0 days 00:28:02.118645000,256,16.0,0.0064100663057347655,0.7354803673612944,62,0.009899306969436755,COMPLETE
11,11,-0.15605699073966178,2020-08-07 18:13:05.839933,2020-08-07 18:40:28.225898,0 days 00:27:22.385965000,256,80.0,0.002555572222557332,0.8163352056324207,66,0.000188493749540359,COMPLETE
12,12,-0.0832304459638193,2020-08-07 18:40:28.226382,2020-08-07 19:07:34.250510,0 days 00:27:06.024128000,256,80.0,0.002914113771648467,0.7679478930785107,58,0.0002633950797056042,COMPLETE
13,13,-0.1159932966159907,2020-08-07 19:07:34.250994,2020-08-07 19:34:00.671987,0 days 00:26:26.420993000,256,96.0,0.009870267749931598,0.7746917391664878,73,0.00012163588566668547,COMPLETE
14,14,-0.06439882726209661,2020-08-07 19:34:00.672473,2020-08-07 20:15:34.484576,0 days 00:41:33.812103000,128,64.0,0.0029976800576078226,0.8429232733671437,41,0.0003011270363927725,COMPLETE
15,15,-0.07668992807400021,2020-08-07 20:15:34.485065,2020-08-07 20:42:37.002468,0 days 00:27:02.517403000,256,48.0,0.0017288035860094806,0.9978567817318835,71,0.009371907560445475,COMPLETE
16,16,-0.12323697067895306,2020-08-07 20:42:37.002952,2020-08-07 21:09:21.041409,0 days 00:26:44.038457000,256,96.0,0.004634054125729478,0.7249289587683421,49,0.0036491074281070116,COMPLETE
17,17,-0.005110685675656399,2020-08-07 21:09:21.041887,2020-08-07 21:50:58.738254,0 days 00:41:37.696367000,128,48.0,0.009126273720333596,0.9925567720936485,32,0.0003041075229143713,COMPLETE
18,18,-0.1627384292576084,2020-08-07 21:50:58.738743,2020-08-07 22:16:19.532719,0 days 00:25:20.793976000,256,96.0,0.0030876253496162943,0.684964109299999,64,7.626369873939267e-05,COMPLETE
19,19,-0.13850005632800189,2020-08-07 22:16:19.533189,2020-08-07 22:37:12.044009,0 days 00:20:52.510820000,384,96.0,0.0017201043158745037,0.6943658331019913,83,3.1206057248959234e-05,COMPLETE
20,20,-0.13298809675899764,2020-08-07 22:37:12.044484,2020-08-07 23:02:41.423720,0 days 00:25:29.379236000,256,128.0,0.0011490584601614045,0.8016954436052913,65,8.988558933840975e-05,COMPLETE
