,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.07085775056139865,2020-08-07 13:00:34.349434,2020-08-07 13:05:42.365587,0 days 00:05:08.016153000,512,64.0,0.0012356419087275086,0.5879214178954093,94,5.440266096532218e-05,COMPLETE
1,1,-0.009532946877324755,2020-08-07 13:05:42.366086,2020-08-07 13:11:15.288601,0 days 00:05:32.922515000,128,32.0,0.00011983780687144781,0.8030839050083947,62,0.0003678869208885548,COMPLETE
2,2,-0.07289725212325941,2020-08-07 13:11:15.289113,2020-08-07 13:17:26.512136,0 days 00:06:11.223023000,128,32.0,0.004477243343015165,0.9555053311531838,51,4.612773360901968e-05,COMPLETE
3,3,-0.012547045282224029,2020-08-07 13:17:26.512929,2020-08-07 13:23:41.667451,0 days 00:06:15.154522000,512,96.0,0.00041665715525066114,0.8316771032973,12,5.4113592674838326e-05,COMPLETE
4,4,-0.03253526560711285,2020-08-07 13:23:41.667918,2020-08-07 13:29:57.656128,0 days 00:06:15.988210000,256,96.0,0.00024289848561878126,0.8585692130747169,28,1.2071354669325018e-05,COMPLETE
5,5,-0.12400360477613886,2020-08-07 13:29:57.656798,2020-08-07 13:36:05.833742,0 days 00:06:08.176944000,256,128.0,0.0042060590676441575,0.5169470066180313,50,5.236066165504691e-05,COMPLETE
6,6,-0.07100633992656198,2020-08-07 13:36:05.834224,2020-08-07 13:41:54.782070,0 days 00:05:48.947846000,256,80.0,0.0004864619823398171,0.6229670714282193,50,0.0011369746377258823,COMPLETE
7,7,-0.014227696519078438,2020-08-07 13:41:54.782551,2020-08-07 13:47:26.088560,0 days 00:05:31.306009000,384,16.0,0.0007251422948272861,0.7658232630509352,49,0.007870494518663259,COMPLETE
8,8,-0.12076153705267895,2020-08-07 13:47:26.089045,2020-08-07 13:53:11.709634,0 days 00:05:45.620589000,128,96.0,0.005646504063348802,0.595895653185244,65,0.0003823603996840296,COMPLETE
9,9,-0.017410850390248943,2020-08-07 13:53:11.710121,2020-08-07 13:58:31.332694,0 days 00:05:19.622573000,384,64.0,0.00038173959282049633,0.5608738407084314,18,3.2589608356576286e-05,COMPLETE
