,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.006673558284968182,2020-08-12 08:04:12.402739,2020-08-12 08:44:49.126245,0 days 00:40:36.723506000,0.00016389732315510931,256,48.0,0.00010226705839420607,0.9361088621484751,59,0.002758346983439067,COMPLETE
1,1,-0.046704529558286245,2020-08-12 08:44:49.126763,2020-08-12 10:01:59.053870,0 days 01:17:09.927107000,3.3832055621873295e-06,128,80.0,0.000979796837851219,0.7111926593180282,25,0.00030075398257716743,COMPLETE
2,2,-0.006268836951013427,2020-08-12 10:01:59.054367,2020-08-12 10:24:36.139598,0 days 00:22:37.085231000,2.498361670222684e-05,512,16.0,0.00010042666008170169,0.697168442312658,44,0.0001919972796942072,COMPLETE
3,3,-0.11545356497681901,2020-08-12 10:24:36.140093,2020-08-12 10:52:36.413289,0 days 00:28:00.273196000,0.0068412466127136745,384,64.0,0.0025606697725634206,0.8136536242809811,63,0.00025411259775408394,COMPLETE
4,4,-0.022762474558380905,2020-08-12 10:52:36.413894,2020-08-12 11:15:48.677941,0 days 00:23:12.264047000,9.3385922273338e-06,512,64.0,0.0010794021189766089,0.5392081771798161,50,7.951006930758607e-06,COMPLETE
5,5,-0.006045396800244983,2020-08-12 11:15:48.678449,2020-08-12 11:39:09.472684,0 days 00:23:20.794235000,0.005861084352123238,512,80.0,0.0005382542549214911,0.6110527309746181,76,0.00416907911054441,COMPLETE
6,6,-0.04280188622007443,2020-08-12 11:39:09.473180,2020-08-12 12:56:05.827925,0 days 01:16:56.354745000,5.606330063377985e-05,128,16.0,0.006703202881898039,0.772700121558684,56,0.0005787425490998183,COMPLETE
7,7,-0.006370794651535332,2020-08-12 12:56:05.828448,2020-08-12 13:18:42.064098,0 days 00:22:36.235650000,1.0621430253220418e-05,512,32.0,0.0004355988381830835,0.5133048418584483,89,0.005396715222001835,COMPLETE
8,8,-0.11922398280919586,2020-08-12 13:18:42.064657,2020-08-12 13:47:13.658656,0 days 00:28:31.593999000,2.1139239125238045e-05,384,128.0,0.002351680902011541,0.750261908371121,92,6.748229750211417e-05,COMPLETE
9,9,-0.09208969047011806,2020-08-12 13:47:13.659214,2020-08-12 14:15:16.561235,0 days 00:28:02.902021000,0.0008000493485767073,384,128.0,0.0066145659226587526,0.566054288063393,81,5.179332024065754e-06,COMPLETE
